name,stuff,link,difficulty,tags,methods,tools
胡萝卜炒五花肉,胡萝卜、猪肉,https://www.bilibili.com/video/BV1jW411Z7yd,普通,下饭,炒,一口大锅
胡萝卜炒里脊肉,胡萝卜、猪肉,https://www.bilibili.com/video/BV1Ff4y1x7FX,普通,下饭,炒,一口大锅
炸胡萝卜丸,胡萝卜、鸡蛋、香肠,https://www.bilibili.com/video/BV12r4y1i7ud,普通,,炸,一口大锅
炸胡萝卜块,葫芦卜、鸡蛋,https://www.bilibili.com/video/BV11a411i7f4,普通,,炸,一口大锅
罗宋汤,胡萝卜、土豆、番茄、牛肉,https://www.bilibili.com/video/BV1394y1d7f6,普通,,煮,一口大锅
胡萝卜炖牛肉,胡萝卜、牛肉、洋葱,https://www.bilibili.com/video/BV1UR4y1V7nV,困难,法式,炖,一口大锅
减脂胡萝卜丝,胡萝卜,https://www.bilibili.com/video/BV1UQ4y1i7JY,普通,减脂,蒸,一口大锅
胡萝卜蛋饼,胡萝卜、鸡蛋,https://www.bilibili.com/video/BV1Nh411Z7hZ,简单,早餐,煎,一口大锅
蒜香牛奶焗胡萝卜,胡萝卜、洋葱、鸡蛋,https://www.bilibili.com/video/BV1yF411u7Me,普通,法餐,焗,一口大锅
醋溜西葫芦,西葫芦,https://www.bilibili.com/video/BV1Rv411G7fD,普通,开胃,炒,一口大锅
凉拌西葫芦,西葫芦,https://www.bilibili.com/video/BV175411U7LU,简单,凉菜,凉拌,一口大锅
干锅西葫芦,西葫芦、洋葱,https://www.bilibili.com/video/BV1eP4y1T76T,普通,,炒,一口大锅
西葫芦炒五花肉,西葫芦、猪肉,https://www.bilibili.com/video/BV1TL411T7eX,普通,下饭,炒,一口大锅
西葫芦炒蛋,西葫芦、鸡蛋、番茄,https://www.bilibili.com/video/BV1wT4y1Q7Db,简单,下饭,炒,一口大锅
炝炒西葫芦,西葫芦、番茄,https://www.bilibili.com/video/BV1QU4y1f7sY,普通,下饭,炒,一口大锅
西葫芦鸡蛋饼,西葫芦、鸡蛋,https://www.bilibili.com/video/BV1Mt411T7pF,普通,,煎,一口大锅
